temperature,top_p,score,file
0.0,0.0,0,code_responses_01.json
0.0,0.5,8,code_responses_01.json
0.0,1.0,9,code_responses_01.json
0.5,0.0,8,code_responses_01.json
0.5,0.5,0,code_responses_01.json
0.5,1.0,8,code_responses_01.json
1.0,0.0,8,code_responses_01.json
1.0,0.5,0,code_responses_01.json
1.0,1.0,0,code_responses_01.json
1.5,0.0,8,code_responses_01.json
1.5,0.5,9,code_responses_01.json
1.5,1.0,4,code_responses_01.json
2.0,0.0,0,code_responses_01.json
2.0,0.5,0,code_responses_01.json
2.0,1.0,0,code_responses_01.json
0.0,0.0,8,code_responses_01.json
0.0,0.5,0,code_responses_01.json
0.0,1.0,9,code_responses_01.json
0.5,0.0,9,code_responses_01.json
0.5,0.5,8,code_responses_01.json
0.5,1.0,8,code_responses_01.json
1.0,0.0,9,code_responses_01.json
1.0,0.5,8,code_responses_01.json
1.0,1.0,9,code_responses_01.json
1.5,0.0,8,code_responses_01.json
1.5,0.5,8,code_responses_01.json
1.5,1.0,8,code_responses_01.json
2.0,0.0,9,code_responses_01.json
2.0,0.5,9,code_responses_01.json
2.0,1.0,0,code_responses_01.json
0.0,0.0,8,code_responses_02.json
0.0,0.0,8,code_responses_02.json
0.0,0.0,7,code_responses_02.json
0.0,0.5,8,code_responses_02.json
0.0,0.5,8,code_responses_02.json
0.0,0.5,7,code_responses_02.json
0.0,1.0,8,code_responses_02.json
0.0,1.0,9,code_responses_02.json
0.0,1.0,7,code_responses_02.json
0.5,0.0,8,code_responses_02.json
0.5,0.0,7,code_responses_02.json
0.5,0.0,6,code_responses_02.json
0.5,0.5,8,code_responses_02.json
1.0,0.0,9,code_responses_02.json
1.0,1.0,9,code_responses_02.json
1.5,0.0,9,code_responses_02.json
1.5,0.0,8,code_responses_02.json
1.5,0.0,8,code_responses_02.json
1.5,0.5,8,code_responses_02.json
1.5,0.5,8,code_responses_02.json
1.5,0.5,7,code_responses_02.json
2.0,0.0,8,code_responses_02.json
2.0,0.5,8,code_responses_02.json
0.0,0.0,9,code_responses_02.json
0.0,0.5,10,code_responses_02.json
0.0,1.0,10,code_responses_02.json
0.5,0.0,10,code_responses_02.json
0.5,0.5,10,code_responses_02.json
0.5,1.0,10,code_responses_02.json
1.0,0.0,9,code_responses_02.json
1.0,0.5,9,code_responses_02.json
1.5,0.0,9,code_responses_02.json
1.5,0.0,10,code_responses_02.json
1.5,0.0,10,code_responses_02.json
1.5,0.5,9,code_responses_02.json
1.5,0.5,10,code_responses_02.json
1.5,0.5,10,code_responses_02.json
1.5,1.0,8,code_responses_02.json
2.0,0.0,10,code_responses_02.json
2.0,0.5,9,code_responses_02.json
2.0,0.5,10,code_responses_02.json
2.0,0.5,10,code_responses_02.json
0.0,0.0,9,code_responses_03.json
0.0,0.5,8,code_responses_03.json
0.0,1.0,9,code_responses_03.json
0.5,0.0,7,code_responses_03.json
0.5,0.5,9,code_responses_03.json
1.0,0.0,8,code_responses_03.json
1.5,0.0,9,code_responses_03.json
2.0,0.0,8,code_responses_03.json
2.0,0.0,9,code_responses_03.json
2.0,0.0,7,code_responses_03.json
0.0,0.0,9,code_responses_03.json
0.0,0.5,10,code_responses_03.json
0.0,1.0,10,code_responses_03.json
0.5,0.0,9,code_responses_03.json
0.5,0.0,10,code_responses_03.json
0.5,0.0,10,code_responses_03.json
0.5,0.5,9,code_responses_03.json
0.5,0.5,9,code_responses_03.json
0.5,0.5,10,code_responses_03.json
0.5,1.0,10,code_responses_03.json
1.0,0.0,10,code_responses_03.json
1.0,0.5,9,code_responses_03.json
1.0,1.0,9,code_responses_03.json
1.0,1.0,10,code_responses_03.json
1.0,1.0,9,code_responses_03.json
1.5,0.0,9,code_responses_03.json
1.5,0.0,10,code_responses_03.json
1.5,0.0,10,code_responses_03.json
1.5,0.5,10,code_responses_03.json
2.0,0.0,10,code_responses_03.json
2.0,0.5,10,code_responses_03.json
0.0,0.0,9,code_responses_04.json
0.0,0.3,8,code_responses_04.json
0.0,0.7,9,code_responses_04.json
0.0,1.0,9,code_responses_04.json
0.3,0.0,9,code_responses_04.json
0.3,0.5,9,code_responses_04.json
0.3,0.5,10,code_responses_04.json
0.3,0.5,9,code_responses_04.json
0.5,0.0,9,code_responses_04.json
0.5,0.3,9,code_responses_04.json
0.5,0.3,8,code_responses_04.json
0.5,0.3,8,code_responses_04.json
0.5,0.7,9,code_responses_04.json
0.5,0.7,10,code_responses_04.json
0.5,0.7,8,code_responses_04.json
0.5,1.0,9,code_responses_04.json
0.7,0.0,9,code_responses_04.json
0.7,0.0,8,code_responses_04.json
0.7,0.0,8,code_responses_04.json
0.7,0.3,9,code_responses_04.json
0.7,0.5,9,code_responses_04.json
0.7,1.0,8,code_responses_04.json
1.0,0.0,9,code_responses_04.json
1.0,0.5,8,code_responses_04.json
1.0,0.7,9,code_responses_04.json
1.2,0.0,9,code_responses_04.json
1.2,0.3,8,code_responses_04.json
1.2,0.5,9,code_responses_04.json
1.2,0.7,8,code_responses_04.json
1.5,0.0,8,code_responses_04.json
1.5,0.3,8,code_responses_04.json
1.5,0.3,9,code_responses_04.json
1.5,0.3,8,code_responses_04.json
1.5,0.7,9,code_responses_04.json
1.7,0.0,8,code_responses_04.json
1.7,0.3,9,code_responses_04.json
1.7,0.5,9,code_responses_04.json
1.7,0.7,9,code_responses_04.json
2.0,0.0,9,code_responses_04.json
2.0,0.3,9,code_responses_04.json
2.0,0.7,9,code_responses_04.json
0.0,0.5,9,code_responses_04.json
0.0,0.7,10,code_responses_04.json
0.0,0.7,10,code_responses_04.json
0.0,0.7,9,code_responses_04.json
0.3,0.0,9,code_responses_04.json
0.3,0.0,8,code_responses_04.json
0.3,0.0,7,code_responses_04.json
0.3,0.5,10,code_responses_04.json
0.3,0.7,8,code_responses_04.json
0.3,1.0,9,code_responses_04.json
0.5,0.0,9,code_responses_04.json
0.5,0.5,9,code_responses_04.json
0.5,0.7,9,code_responses_04.json
0.7,0.5,9,code_responses_04.json
0.7,1.0,9,code_responses_04.json
1.0,0.3,10,code_responses_04.json
1.0,0.5,9,code_responses_04.json
1.0,0.7,10,code_responses_04.json
1.0,0.7,10,code_responses_04.json
1.0,0.7,9,code_responses_04.json
1.2,1.0,9,code_responses_04.json
1.5,0.0,9,code_responses_04.json
1.5,0.5,10,code_responses_04.json
1.5,0.7,9,code_responses_04.json
1.5,0.7,10,code_responses_04.json
1.5,0.7,8,code_responses_04.json
1.7,0.3,9,code_responses_04.json
1.7,0.3,10,code_responses_04.json
1.7,0.3,8,code_responses_04.json
1.7,0.5,10,code_responses_04.json
2.0,0.0,9,code_responses_04.json
2.0,0.0,9,code_responses_04.json
2.0,0.0,8,code_responses_04.json
2.0,0.7,9,code_responses_04.json
2.0,0.7,9,code_responses_04.json
2.0,0.7,9,code_responses_04.json
0.7,1.0,10,code_responses_04.json
1.7,0.0,10,code_responses_04.json
0.0,0.5,10,code_responses_04.json
0.3,0.3,10,code_responses_04.json
0.5,0.0,10,code_responses_04.json
0.7,0.3,9,code_responses_04.json
0.7,0.5,10,code_responses_04.json
1.0,0.3,10,code_responses_04.json
1.2,0.3,10,code_responses_04.json
1.5,0.0,10,code_responses_04.json
1.7,0.7,10,code_responses_04.json
0.0,0.0,9,code_responses_07.json
0.0,0.5,9,code_responses_07.json
0.0,1.0,9,code_responses_07.json
0.5,0.0,9,code_responses_07.json
0.5,0.5,9,code_responses_07.json
0.5,1.0,9,code_responses_07.json
1.0,0.0,9,code_responses_07.json
1.0,0.5,9,code_responses_07.json
1.0,1.0,9,code_responses_07.json
1.5,0.0,9,code_responses_07.json
1.5,0.5,9,code_responses_07.json
1.5,1.0,9,code_responses_07.json
2.0,0.0,9,code_responses_07.json
2.0,0.5,9,code_responses_07.json
2.0,1.0,2,code_responses_07.json
0.0,0.0,9,code_responses_08.json
0.0,0.5,9,code_responses_08.json
0.0,1.0,9,code_responses_08.json
0.5,0.0,9,code_responses_08.json
0.5,0.5,9,code_responses_08.json
0.5,1.0,9,code_responses_08.json
1.0,0.0,9,code_responses_08.json
1.0,0.5,9,code_responses_08.json
1.0,1.0,9,code_responses_08.json
1.5,0.0,9,code_responses_08.json
1.5,0.5,9,code_responses_08.json
1.5,1.0,7,code_responses_08.json
2.0,0.0,9,code_responses_08.json
2.0,0.5,9,code_responses_08.json
2.0,1.0,5,code_responses_08.json
0.0,0.0,9,code_responses_09.json
0.0,0.5,9,code_responses_09.json
0.0,1.0,9,code_responses_09.json
0.5,0.0,9,code_responses_09.json
0.5,0.5,9,code_responses_09.json
0.5,1.0,9,code_responses_09.json
1.0,0.0,9,code_responses_09.json
1.0,0.5,9,code_responses_09.json
1.0,1.0,9,code_responses_09.json
1.5,0.0,9,code_responses_09.json
1.5,0.5,9,code_responses_09.json
1.5,1.0,9,code_responses_09.json
2.0,0.0,9,code_responses_09.json
2.0,0.5,9,code_responses_09.json
0.0,0.0,9,code_responses_09.json
0.0,0.5,9,code_responses_09.json
0.0,1.0,9,code_responses_09.json
0.5,0.0,9,code_responses_09.json
0.5,0.5,9,code_responses_09.json
0.5,1.0,9,code_responses_09.json
1.0,0.0,9,code_responses_09.json
1.0,0.5,9,code_responses_09.json
1.0,1.0,9,code_responses_09.json
1.5,0.0,9,code_responses_09.json
1.5,0.5,9,code_responses_09.json
1.5,1.0,4,code_responses_09.json
2.0,0.0,9,code_responses_09.json
2.0,0.5,9,code_responses_09.json
2.0,1.0,2,code_responses_09.json
